name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Specialized Energy Mounts,tahlan_heavyenergy,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.HeavyEnergy,"Equipped with specialized energy mounts, the OP cost of large energy weapons is reduced by %s.

Furthermore, a modified flux grid allows for the overcharging of projectile-based energy weapons, increasing their damage by %s. This comes at the cost of a %s reduced rate of fire for all kinds of energy weapons.",Boosts energy weapon damage at cost of firerate.,,
Infernalis Drives,tahlan_lirefit,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.LIRefit,"An unusually sophisticated drive modification for pirates, the Infernalis Drives increase top speed by %s/%s/%s/%s su based on hull size and raise the ship's burn level by %s. Additionally these drives have been equipped with improved emission shielding, reducing the ship's sensor profile by %s.

%s.",Improved drives,,graphics/tahlan/hullmods/tahlan_lirefit.png
Escape Afterburners,tahlan_afterburners,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.Afterburners,Grants a boost to mobility once missile ordnance has been depleted,Grants a boost to mobility once missile ordnance has been depleted,,
Parallel Targeting Core,tahlan_paralleltargeting,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.ParallelTargetingUnit,"This ship is outfitted with secondary targeting core for improved rangefinding. Increases the base range of small non-missile weapons by %s for non-PD and %s for PD weapons.

Incompatible with %s.",Increases small weapon range,,graphics/hullmods/ballistic_rangefinder.png
Vund-Pattern Autoforge,tahlan_vundautoforge,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.VundAutoforge,"This ship contains a large autoforge passively producing missile ammunition during combat. Restores %s of every missile weapon's base maximum ammunition %s.

Effect increased by %s if commanding officer has the %s skill. Unaffected by hullmods that increase maximum missile ammo.",Regenerates Missiles,,graphics/hullmods/missile_autofactory.png
Flux Catalyst,tahlan_fluxcatalyst,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.FluxCatalyst,"The Trill houses an experimental flux catalyst system. Utilizing built-up flux, the ship is capable of supercharging its weapon, increasing damage and flux costs by %s.

Damage is increased further by up to %s as flux level increases.",Boosts damage with flux level,,graphics/tahlan/hullmods/tahlan_fluxcatalyst.png
Lostech Engineering,tahlan_heavyconduits,,,,defensive,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.HeavyConduits,"The flux grid of this ship has been heavily reinforced and modified with advanced and unknown Domain lostech. Its exact specs are unknown, but through tests and extensive analysis you have been able to deduce most of the effects. Similar to common reinforced flux conduits, EMP damage taken is reduced by %s. Additionally the ship's flux dissipation rate while venting is boosted by %s and a fully integrated autorepair system reduces weapon and engine repair times by %s.

Detailed analysis indicates that the ship may possess other, as of yet undocumented, capabilities.

Due to the limited understanding of the technology, maintenance costs and CR degradation in combat after peak performance time are increased by %s.

The extensive modifications are also incompatible with %s and the non-standard shield generators are incompatible with regular %s.","Reduces amount of EMP damage taken, improves venting.",,graphics/tahlan/hullmods/tahlan_heavyconduits.png
Makeshift Turret Mounts,tahlan_makeshiftmounts,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.MakeshiftMounts,"The turret mounts of this ship have been ""upgraded"" in a makeshift manner. Due to inferior engineering, weapons can only turn at %s speed and ballistic weapon rate of fire is reduced to %s of base.",Reduces weapon turnrate and rate of fire.,,graphics/tahlan/hullmods/tahlan_makeshiftmounts.png
Blessed Machinery,tahlan_admechrefit,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.AdMechRefit,"This Vessel has been blessed by the Machine God, granting it %s better flux stats and an additional %s increase to energy weapon range, while the Children of Mars have augmented the armor plating, increasing the armor value by %s.

The heat of combat will rouse the ship's Machine Spirit and as it accumulates flux, ballistic and energy weapon damage will increase while their rate of fire will decrease by up to %s for ballistic weapons and up to %s for energy weapons.",Blessings of the Machine God.,,graphics/tahlan/hullmods/tahlan_admech.png
,,,,,,,,,,,,,,,,,,,
Silberherz Core,tahlan_silberherz,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.Silberherz,"The arcane technology of this warmachine is powered and controlled by the Silberherz, a hyperadvanced combined computing and power core.

Regalia were designed for resilience. The advanced targeting matrix is highly efficient at dealing with small targets, increasing damage to fighters and missiles by %s and specialized microforcefields around all weapon mounts effectively improve their health by %s.

Due to their high complexity, Regalia are directly controlled by their captain via a neural interface. While this allows for incredibly precise control, only well-experienced individuals will be able to bring out the machine's full potential. As such, an officer of at least %s will be capable of bringing out the machine's full potential, increasing its general performance by about %s.

Additionally, the need for specialized maintenance equipment means supply use for maintanance and time to recover is %s if the fleet lacks a vessel with %s.

%s",Exotic Power Core,,graphics/tahlan/hullmods/tahlan_silberherz.png
Silberherz Subcore,tahlan_silberherz_minor,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.SilberherzMinor,"The arcane technology of this warmachine is powered and controlled by a downscaled variant of the Silberherz, a hyperadvanced combined computing and power core.

Regalia were designed for resilience. The advanced targeting matrix is highly efficient at dealing with small targets, increasing damage to fighters and missiles by %s and specialized microforcefields around all weapon mounts effectively improve their health by %s.

Additionally, the need for specialized maintenance equipment means supply use for maintanance and time to recover is %s if the fleet lacks a vessel with %s.

%s",Exotic Power Core,,graphics/tahlan/hullmods/tahlan_silberherz_minor.png
Adlerauge Array,tahlan_adlerauge,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.Adlerauge,"Built into the bow of the ship, this massive combat scanner supplies improved targeting data, increasing the effective range of energy and ballistic weapons by %s, boosting projectile velocity by %s and improving autofire accuracy.

The Adlerauge will also automatically link with any %s Regalia within a %s radius providing them with the same bonuses.",Buffs self and allies,,graphics/tahlan/hullmods/tahlan_adlerauge.png
Regalia Gantry,tahlan_regaliagantry,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.RegaliaGantry,This vessel is equipped with the necessary equipment for servicing and maintaining Regalia.,Regalia maintenance,,graphics/tahlan/hullmods/tahlan_regaliagantry.png
Artillery Interface,tahlan_traummounts,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.TraumMounts,Enhanced mounts reduce the ordnance point cost of large ballistic and energy weapons by %s.,Reduces OP cost of large ballistic and energy weapons.,,graphics/hullmods/ballistics_integration.png
,,,,,,,,,,,,,,,,,,,
Temporal Armor,tahlan_outcast_engineering,2,,,"special, defensive",,9999,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.OutcastEngineering,"A rare ship constructed by the Great Houses.

Equipped with a highly advanced %s of unknown design, permanently accelerating the ship's timeflow by %s.

Unlike most Kassadari vessels, the Metafalica carries an experimental variant of this circuit grid, replacing the standard overdrive functionality with a unique defensive system that utilizes built-up flux. The ship's armor and hull takes up to %s less damage, and %s less EMP damage, based on the ship's flux. This bonus increases the higher the ship's flux gets, starting at %s and maxing out at %s.

Monthly supply cost is increased by %s. Furthermore the delicate machinery causes CR to decrease at doubled rate after peak performance time has passed.",Increases speed when traveling in a straight line. Bonus armor damage reduction at high flux. Damages anything nearby when overloading.,,graphics/tahlan/hullmods/tahlan_knightrefit.png
Variable Ammo Loader,tahlan_variable_ammo_loader,,,,offensive,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.VariableAmmoLoader,"The Metafalica has advanced ammo-switchers built into its main batteries, allowing the three Phira cannons on the ship to swap between different modes via the ship's shipsystem.",Main cannons can switch ammo types,,graphics/tahlan/hullmods/tahlan_variable_ammo.png
,,,,,,,,,,,,,,,,,,,
Legio Engineering,tahlan_chmlegio,,,Legio Infernalis,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.CHMLegio,"Legio Infernalis engineers have a hand for tuning drives for maximum performance, increasing top speed by %s/%s/%s/%s su/second based on hull size and increasing the zero flux speed boost by %s.",Boosts speed,,graphics/tahlan/hullmods/tahlan_chmlegio.png
,,,,,,,,,,,,,,,,,,,
Phase Harmonics,tahlan_phaseharmonics,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.phaseHarmonics,"This experimental vessel employs a novel phase grid of Tri-Tachyon design. Far more deeply integrated into all systems of the ship, it grants benefits exceeding those of typical phase coils.",Enhances defenses and venting during system downtime.,,graphics/tahlan/hullmods/tahlan_phaseharmonics.png
Volatile Vents,tahlan_volatilevents,,,,,,,,TRUE,TRUE,0,0,0,0,org.niatahl.tahlan.hullmods.VolatileVents,(Hidden) Venting spawns volatile emp arcs,(Hidden) Venting spawns volatile emp arcs,,
Volatile Dissipation,tahlan_volatiledissipation,,,,,,,,TRUE,TRUE,0,0,0,0,org.niatahl.tahlan.hullmods.VolatileDissipation,(Hidden) Boosts dissipation with hardflux level. Arcs EMP at high flux,(Hidden) Boosts dissipation with hardflux level. Arcs EMP at high flux,,
Vent Weapon Boost,tahlan_ventweaponboost,,,,,,,,TRUE,TRUE,0,0,0,0,org.niatahl.tahlan.hullmods.VentWeaponBoost,(Hidden) Boosts weapon damage after venting,(Hidden) Boosts weapon damage after venting,,
Reality Glitch,tahlan_realityglitch,,,,,,,,TRUE,TRUE,0,0,0,0,org.niatahl.tahlan.hullmods.RealityGlitch,(Hidden) Randomly phases and repairs some armor,(Hidden) Randomly phases and repairs some armor,,
Crit Build,tahlan_10pctCritChance,,,,,,,,TRUE,TRUE,0,0,0,0,org.niatahl.tahlan.hullmods.TenPercentCritChance,(Hidden) Adds crit chance to a ship,(Hidden) Adds crit chance to a ship,,
Creepy Spooky Stuff,tahlan_spookyFog,,,,,,,,TRUE,TRUE,0,0,0,0,org.niatahl.tahlan.hullmods.CreepyFog,(Hidden) Adds spooky fog to a ship,(Hidden) Adds spooky fog to a ship,,
Skyrend Bays,tahlan_skyrendBays,,,,,,,,TRUE,TRUE,0,0,0,0,org.niatahl.tahlan.hullmods.SkyrendBays,(Hidden) Removes 2 bays,(Hidden) Removes 2 bays,,
Daemonic Heart,tahlan_daemoncore,,,,,,,TRUE,,,0,0,0,0,org.niatahl.tahlan.hullmods.DaemonHeart,"This Daemon-type hull features engines that are increasingly optimised at flux levels below %s, increasing top speed by up to %s at zero flux. Additionally specialised integration enhances the tracking capabilities of Legio smartguns.

There appear to be various protocols in place restricting the ship's capabilities without Legio command codes, causing it to only operate at %s of its peak capacity. Furthermore your technicians have found a number of backdoors that might allow certain Daemon command ships to take direct remote control of this vessel, though they estimate this would require close proximity to said command ship, though some electronic warfare techniques might be able to deny access to said backdoors.

Increases supply use for maintenance and recovery by %s.",Daemonic technology,Removes performance penalty.,graphics/tahlan/hullmods/tahlan_daemoncore.png
Daemon Boost,tahlan_daemonboost,,,,,,,,TRUE,TRUE,0,0,0,0,org.niatahl.tahlan.hullmods.DaemonBoost,(Hidden) Dumb workaround,(Hidden) Dumb workaround,,graphics/tahlan/hullmods/tahlan_lirefit.png
Hel Carapace,tahlan_daemonarmor,,,,defensive,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.DaemonArmor,"The unusual armor used on this ship possesses regenerative properties, being able to continuously restore %s of base armor value per second, capped at %s. Increases effective armor rating for damage calculation by %s.

Dampens particularly heavy impacts exceeding %s points of damage. The portion exceeding the threshold is reduced by %s.

Regeneration is %s while overloaded and %s while actively venting flux or phased and for %s after taking damage to armor.",Regenerates Armor,,graphics/tahlan/hullmods/tahlan_daemonarmor.png
Phased Carapace,tahlan_daemonphasearmor,,,,defensive,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.DaemonPhaseArmor,"As the Hel Carapace is largely incompatible with phase technology, this ship is equipped with a unique phased armor system instead.

Dampens particularly heavy impacts exceeding %s points of damage. The portion exceeding the threshold is reduced by %s.",Dampens armor damage,,graphics/tahlan/hullmods/tahlan_daemonarmor.png
Hel Plating,tahlan_daemonplating,,,,"no_drop, defensive",Defenses,,,,,8,12,20,30,org.niatahl.tahlan.hullmods.DaemonPlating,"A prototype armor system that possesses regenerative properties, being able to continuously restore %s of base armor value per second, capped at %s. Increases effective armor rating for damage calculation by %s.

Dampens particularly heavy impacts exceeding %s points of damage. The portion exceeding the threshold is reduced by %s.

Regeneration is %s while overloaded and %s while actively venting flux and for %s after taking damage to armor.

The heavy modifications result in total armor rating being reduced by %s, including increases from hullmods such as %s.",Regenerates Armor,"Armor rating penalty is reduced to %s, but regeneration is also reduced to %s per second.",graphics/tahlan/hullmods/tahlan_daemonarmor.png
Hel Hound Armor,tahlan_helhoundarmor,,,,defensive,,,,TRUE,TRUE,0,0,0,0,org.niatahl.tahlan.hullmods.helHoundArmor,Mirrors damper effects of main ship,Mirrors damper effects of main ship,,graphics/tahlan/hullmods/tahlan_daemonarmor.png
Overclocked Mounts,tahlan_overclockedmounts,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.OverclockedMounts,"All ballistic and energy weapons are overclocked, allowing ballistic weapons to fire %s faster and increasing energy weapon damage by %s. Flux generation is increased proportionally.

Additional strain from extended operation above design specs makes all weapons %s more susceptible to damage.",Boosts rate of fire.,,
Hel Altar Device,tahlan_helaltar,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.HelAltar,"This ships serves a command and control unit for all Daemons within %s range.

All allied ships with the %s hullmod within range receive %s less damage and deal %s more damage to missiles and fighters.

Also affects this ship itself.

Effects from multiple Altars do not stack.",Buffs self and allies,,graphics/tahlan/hullmods/tahlan_helaltar.png
Scathach's Soul,tahlan_scathach,,,,,,,,TRUE,TRUE,0,0,0,0,org.niatahl.tahlan.hullmods.Scathach,Applies Scathach,Applies Scathach,,graphics/tahlan/hullmods/tahlan_helaltar.png
Quantum Link Device,tahlan_cieveLink,,,,"no_drop, special, no_build_in",Special,,,,,10,15,20,30,org.niatahl.tahlan.hullmods.CieveLink,"Similar in functionality to a standard neural link, this device contains a quantum entanglement transmitter, allowing for real-time communication at any distance.",Allows Cieve to control ship,,graphics/tahlan/hullmods/cieve_link.png
Stealth Plating,tahlan_stealthplating,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.StealthPlating,Reduces the ship's sensor profile by %s.,Reduces sensor profile,,graphics/tahlan/hullmods/tahlan_stealthplating.png
Unique,tahlan_notorious,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.Notorious,"This ship is %s for being of a unique design, easily identified even with fleet transponder disabled.",Makes ship notable,,
Nightwatch EWAR Suite,tahlan_ewarsuite,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.EWARSuite,"This ships is host to an extensive electronic warfare suite, disrupting all enemies within a %s radius.

Affected hostile ships receive %s more damage from all sources and deal %s less damage to missiles and fighters.

Effects from multiple EWAR Suites do not stack.",Debuffs nearby enemies,,graphics/tahlan/hullmods/tahlan_ewarsuite.png
Bolt Field Harmoniser,tahlan_fieldharmoniser,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.FieldHarmoniser,Increases base range of projectile energy weapons by %s for medium and %s for small mounts and reduces the flux cost of all energy weapons by %s.,Increases energy projectile ranges,,graphics/hullmods/coherer.png
Saveth Shield,tahlan_savethshield,,,,,,,,TRUE,TRUE,0,0,0,0,org.niatahl.tahlan.hullmods.SavethShield,,,,graphics/hullmods/coherer.png
,,,,,,,,,,,,,,,,,,,
Sin of Wrath,tahlan_wrath,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.barcodes.Wrath,Increases damage to ships by %s per installed S-Mod.,Increases damage to ships,,graphics/tahlan/hullmods/tahlan_daemoncore.png
Sin of Gluttony,tahlan_gluttony,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.barcodes.Gluttony,Increases flux stats by %s per installed S-Mod.,Increases flux stats,,graphics/tahlan/hullmods/tahlan_daemoncore.png
Sin of Lust,tahlan_lust,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.barcodes.Lust,Increases speed and maneuverability by %s per installed S-Mod.,Increases speed and maneuverability,,graphics/tahlan/hullmods/tahlan_daemoncore.png
Sin of Pride,tahlan_pride,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.barcodes.Pride,Increases timeflow by %s per installed S-Mod.,Increases timeflow,,graphics/tahlan/hullmods/tahlan_daemoncore.png
Sin of Greed,tahlan_greed,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.barcodes.Wrath,"Enhances System cooldown, charge regeneration and range by %s per installed S-Mod.","Enhances System cooldown, charge regeneration and range",,graphics/tahlan/hullmods/tahlan_daemoncore.png
Sin of Sloth,tahlan_sloth,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.barcodes.Sloth,Reduces damage taken by %s per installed S-Mod.,Reduces damage taken,,graphics/tahlan/hullmods/tahlan_daemoncore.png
Sin of Envy,tahlan_envy,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.barcodes.Envy,Increases maximum Combat Readiness by %s.,Increases maximum Combat Readiness,,graphics/tahlan/hullmods/tahlan_daemoncore.png
,,,,,,,,,,,,,,,,,,,
