trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,randomTextureOffset,distance,dispersion,drift,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
tahlan_phira_impact_trail_smoke1,tahlan_phira_impact_shot,tahlan_trail_zappy,10,0.05,0.5,1,9,5,"[255,255,255]","[0,0,255]",0.2,300,-300,true,20,0,1,TRUE,FALSE,TRUE,20,40,0.4,0,0,150,true,false
tahlan_phira_impact_trail_smoke2,tahlan_phira_impact_shot,tahlan_trail_zappy,10,0.05,0.5,1,9,5,"[255,255,255]","[0,0,255]",0.3,300,-300,true,20,0,1,TRUE,FALSE,TRUE,20,40,0.4,0,0,150,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_magaera_trail_smoke1,tahlan_magaera_shot,tahlan_trail_zappy,10,0.05,0.1,0.4,3,2,"[255,255,255]","[0,0,255]",0.2,300,-300,true,10,0,0,TRUE,TRUE,TRUE,20,40,0.3,0,0,200,true,false
tahlan_magaera_trail_smoke2,tahlan_magaera_shot,tahlan_trail_zappy,10,0.05,0.1,0.4,3,2,"[255,255,255]","[0,0,255]",0.2,300,-300,true,10,0,0,TRUE,TRUE,TRUE,20,40,0.3,0,0,200,true,false
tahlan_magaera_trail_glow,tahlan_magaera_shot,tahlan_trail_smooth,10,0,0.02,0.15,30,10,"[100,205,255]","[140,215,255]",0.2,300,-300,true,25,0,0,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_gallant_trail_smoke,tahlan_gallant_shot,tahlan_trail_zappy,10,0.05,0.1,0.5,3,2,"[255,255,255]","[0,0,255]",0.3,300,-300,true,10,0,0,TRUE,TRUE,TRUE,20,60,0.3,0,0,200,true,false
tahlan_gallant_trail_glow,tahlan_gallant_shot,tahlan_trail_smooth,10,0,0.02,0.15,30,10,"[100,205,255]","[140,215,255]",0.2,300,-300,true,25,0,0,TRUE,TRUE,TRUE,20,60,0.3,0,0,200,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_hekaton_trail_one,tahlan_hekaton_torp,tahlan_trail_fuzzy,10,0,0.2,1.2,10,20,"[255,125,65]","[150,150,150]",0.2,300,500,true,10,0,0,TRUE,FALSE,TRUE,20,40,0.3,0,0,200,true,false
tahlan_hekaton_trail_two,tahlan_hekaton_torp,tahlan_trail_fuzzy,10,0,0.2,1.2,10,20,"[255,125,65]","[150,150,150]",0.2,300,500,true,10,0,0,TRUE,FALSE,TRUE,20,40,0.3,0,0,200,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_astrix_trail,tahlan_astrix_shot,tahlan_trail_zappy,10,0.03,0,0.3,6,2,"[255,160,50]","[189,154,115]",0.6,200,1000,true,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
tahlan_astrix_trail_smoke,tahlan_astrix_shot,tahlan_trail_contrail,10,0.05,0.2,1,8,12,"[150,150,150]","[50,50,50]",0.4,300,500,true,10,0,1,TRUE,FALSE,TRUE,10,30,0.3,0,0,80,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_amboss_trail,tahlan_amboss_shot,tahlan_trail_zappy,10,0.03,0,0.2,14,2,"[255,120,50]","[189,134,115]",0.6,200,1000,true,0,10,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
tahlan_amboss_trail_smoke,tahlan_amboss_shot,tahlan_trail_contrail,10,0.05,0.2,0.5,15,20,"[150,150,150]","[50,50,50]",0.4,300,500,true,10,10,1,TRUE,FALSE,TRUE,20,60,0.4,0,50,200,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_ramun_trail,tahlan_ramun_shot,tahlan_trail_zappy,10,0.03,0,0.15,6,2,"[255,160,50]","[189,154,115]",0.6,200,1000,true,5,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
tahlan_ramun_trail_smoke,tahlan_ramun_shot,tahlan_trail_contrail,10,0.05,0.3,0.3,10,12,"[150,150,150]","[50,50,50]",0.4,300,500,true,10,0,1,TRUE,FALSE,TRUE,10,30,0.3,0,0,80,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_anumis_trail_smoke,tahlan_anumis_shot,tahlan_trail_contrail,10,0.05,0.5,1,12,16,"[150,150,150]","[50,50,50]",0.3,300,500,true,10,0,1,TRUE,FALSE,TRUE,10,30,0.3,0,0,80,true,false
tahlan_anumis_trail,tahlan_anumis_shot,tahlan_trail_smooth,10,0.03,0,0.5,10,2,"[255,160,50]","[189,154,115]",0.6,200,1000,true,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_phira_burst_trail_smoke,tahlan_phira_burst_shot,tahlan_trail_contrail,10,0.05,0.5,0.7,10,16,"[150,150,150]","[50,50,50]",0.4,300,500,true,10,0,1,TRUE,FALSE,TRUE,10,30,0.3,0,0,80,true,false
tahlan_phira_burst_smoke,tahlan_phira_burst_shot,tahlan_trail_smooth,10,0.03,0,0.25,8,2,"[255,160,50]","[189,154,115]",0.6,200,1000,true,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#tahlan_phira_split_trail,tahlan_phira_burst_split_shot,tahlan_trail_zappy,10,0.03,0,0.3,6,2,"[255,160,50]","[189,154,115]",0.6,200,1000,true,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
tahlan_phira_split_smoke,tahlan_phira_burst_split_shot,tahlan_trail_contrail,20,0.05,0.2,0.6,8,12,"[150,150,150]","[50,50,50]",0.35,300,500,true,10,0,1,TRUE,FALSE,TRUE,10,30,0.3,0,0,80,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_fray_trail_1,tahlan_fray_shot,tahlan_trail_fuzzy,10,0,0,0.4,12,5,"[255,120,30]","[224,175,135]",0.8,300,500,true,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
tahlan_fray_trail_2,tahlan_fray_shot,tahlan_trail_contrail,10,0,0,0.8,28,40,"[100,90,80]","[100,90,80]",0.4,300,800,true,0,5,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
tahlan_fray_trail_3,tahlan_fray_shot,tahlan_trail_flame,10,0,0.1,0.4,30,15,"[255,30,0]","[150,10,0]",0.3,300,2000,true,10,0,1,TRUE,FALSE,TRUE,50,100,0.2,0,100,200,true,false
tahlan_fray_trail_4,tahlan_fray_shot,tahlan_trail_flame,10,0,0.1,0.4,30,15,"[255,30,0]","[150,10,0]",0.3,300,2000,true,10,0,1,TRUE,FALSE,TRUE,40,80,0.2,0,80,160,true,false
tahlan_fray_trail_s1,tahlan_fray_shot,tahlan_trail_contrail,10,0,0.3,1,20,30,"[150,150,150]","[50,50,50]",0.3,300,500,true,10,15,1,TRUE,FALSE,TRUE,30,50,0.3,0,0,50,true,false
tahlan_fray_trail_s2,tahlan_fray_shot,tahlan_trail_contrail,10,0,0.3,1.2,20,30,"[150,150,150]","[50,50,50]",0.3,300,500,true,10,15,1,TRUE,FALSE,TRUE,30,50,0.3,0,0,50,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
