bounty_id,level,rank,firstName,lastName,captainPersonality,fleetName,flagshipName,gender,faction,portrait,greetingText,suppressIntel,postedByFaction,creditReward,repReward,intelText,flagshipVariantId,fleetVariantIds,minimumFleetFP,playerFPScalingFactor,chanceToAutoRecover,specialItemRewards,neverSpawnUnlessBountiesCompleted,neverSpawnWhenFactionHostile,neverSpawnWhenFactionNonHostile,neverSpawnBeforeCycle,neverSpawnBeforeLevel,neverSpawnBeforeFleetPoints
tahlan_bounty_cuchulainn,30,spaceAdmiral,Adria,Johnston,aggressive,Tri-Tachyon Escorts,Dominance,FEMALE,tritachyon,graphics/portraits/portrait_corporate04.png,I will make sure you'll come to regret this.,FALSE,hegemony,500000,15,"This one came in through hegemony channels, but reads more like a personal vendetta if you ask me. Contract on a mid-tier Tri-Tachyon executive with a thing for collecting rare and unique ships. They want us to free them of one of their prized possessions, whether we destroy it or take it for ourselves. Smells like some kind of petty revenge, but there's some good money offered and we might be able to swipe that ship. Says it's a giant ship-sized tachyon lance with engines here, can you believe that shit?",tahlan_Cuchulainn_proto,"paragon_Elite, paragon_Elite, tahlan_astral_sabots, tahlan_astral_sabots, tahlan_astral_sabots",350,1.2,1,,,FALSE,FALSE,208,20,150
tahlan_bounty_izanami,40,tahlan_architect,Boris,the Bull,aggressive,Traitor Fleet,Izanami,MALE,pirates,graphics/portraits/portrait_mercenary05.png,"You thought it was Boris, but it was me! Dio!",FALSE,independent,600000,20,"We got an interesting tip-off, boss. Seems some Kassadari agents tracked down one of their mythical Izanamis. Ship is in the hands of some pirate and they aren't sure whether its the original or some copy made with the stolen blueprints. Still, it's one of those crazy Kassadari timestopping monsterships and there's a fat bounty on that.",tahlan_Izanami_prototype,"tahlan_DunScaith_elite, tahlan_DunScaith_standard, tahlan_Flagellator_pi_missile, tahlan_Flagellator_pi_missile, tahlan_Flagellator_pi_missile, tahlan_Flagellator_pi_missile, tahlan_Flagellator_pi_missile, tahlan_Flagellator_pi_missile, tahlan_Flagellator_pi_missile, tahlan_Flagellator_pi_missile, tahlan_Flagellator_pi_missile, tahlan_Flagellator_pi_missile, tahlan_Flagellator_pi_missile, tahlan_Flagellator_pi_missile, tahlan_Flagellator_pi_missile, tahlan_Flagellator_pi_missile, tahlan_Flagellator_pi_missile, tahlan_Flagellator_pi_missile, tahlan_Flagellator_pi_missile, tahlan_Flagellator_pi_missile, tahlan_Flagellator_pi_missile, tahlan_Flagellator_pi_missile, tahlan_Flagellator_pi_missile, tahlan_Flagellator_pi_missile, tahlan_Flagellator_pi_missile",450,1.4,1,,,FALSE,FALSE,216,30,200
#tahlan_bounty_higanbana,40,tahlan_adjudicator,Midori,Arataka,aggressive,Kassadari Excursion,Higanbana,FEMALE,hvb_hostile,graphics/portraits/portrait32.png,What has brought this attack upon us? This is a peaceful mission.,FALSE,hegemony,700000,15,"We got a bounty offer via direct communique from the hegs, but it seems like a dicey one. Says here we're to take care of a Kassadari fleet currently out on an excursion. No reason given, just a pretty big bounty and information that seems to imply the House Arataka flagship is amongst that fleet. The pay is good, but I have a feeling we'd better make sure this doesn't get traced back to us easily.",tahlan_Higanbana_standard,"tahlan_Ristreza_knight, tahlan_Ristreza_knight",500,1.4,1,,tahlan_bounty_numistri,TRUE,FALSE,212,30,200
tahlan_bounty_numistri,40,spaceCaptain,Samira,Vhalen,aggressive,Independent Fleet,Numistri,FEMALE,hvb_hostile,graphics/portraits/portrait27.png,"Stand down. This is not a hostile effort, and we have no desire for bloodshed.",FALSE,pirates,600000,20,"Here's another lucrative offer, if we don't mind doing some pirate lord's dirty work again. Big price on some fancy-pants Battlecruiser. Looks like some Kassadari stuff, but covered in gold plating. Must be some kind of bling-envy at work here or something, but who knows what goes on in those pirates' heads.",tahlan_Ristreza_g_standard,,450,1.3,1,,,FALSE,FALSE,212,30,200
tahlan_bounty_cinder,40,spaceCaptain,Nia,Tahl,aggressive,Special Snowflakes,Cinderblade,FEMALE,hegemony,graphics/tahlan/portraits/characters/tahlan_portrait_nia.png,"Alright then, let's get this over with.",FALSE,independent,1000000,10,"Looks like we have us a bounty on an inconvenient Hegemony captain. Seems to have picked a fight with the wrong person in the chain of command one too many times by my estimation, not that it matters to us what's going on there. The short of it is that there's some money to be made and potentially some nice ships to be claimed. You in, boss?",tahlan_Castigator_pxiv_ash,"tahlan_Vale_crusader, tahlan_Vale_crusader, tahlan_Vale_crusader, tahlan_Vale_crusader",500,1.5,1,,tahlan_bounty_nibelung,FALSE,FALSE,212,30,200
tahlan_bounty_repulse,40,spaceCaptain,Luza,Aitis,aggressive,League Task Force,Repulse,MALE,persean,graphics/portraits/portrait13.png,Hi.,FALSE,independent,1000000,10,<Placeholder>,tahlan_skyrend_rp_hunter,,300,1.2,1,,,FALSE,FALSE,212,30,200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# bounty_id : line ID. Must be unique across all mods. I recommend a prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# level : character level of bounty captain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# rank : must match a rank ID in Ranks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# firstName : bounty captain's first name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# lastName : bounty captain's last name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# fleetName : full name of bounty fleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# flagshipName : name of flagship. Needs to include prefix as it won't have it otherwise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# gender : must match a gender enum in FullName,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# faction : faction id for bounty fleet and captain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# portrait : filepath for bounty portrait. Must be loaded by the game,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# greetingText : full text that displays if/when you open comms with bounty fleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# suppressIntel : if TRUE do not show intel event when bounty spawns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# postedByFaction : faction shown in intel panel as issuer of bounty. Also faction which rep reward applies to,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# creditReward : credits paid out for bounty,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# repReward : reputation points with issuing faction paid out for bounty on a 100 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# intelText : ugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# flagshipVariant : variant ID of bounty flagship,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# fleetVariants : comma seperated list of variant ids for rest of bounty fleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# specialItemsList : comma seperated list of special item ids dropped by fleet.  CURRENTLY DOES NOT WORK SORRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnWhenFactionHostile : if TRUE never spawn when player is hostile to issuing faction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnWhenFactionNonHostile: if TRUE never spawn when player is friendly or neutral to target faction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnBeforeCycle : if over 206 never spawn before said cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnBeforeLevel : if over 1 never spawn when player is below said character level,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnBeforeFleetPoints : if over 1 never spawn when player fleet is less than said fleet points,,,,,,,,,,,,,,,,,,,,,,,,,,,,
